tests.pattern_engine.test_pattern_db_shared_root_guard | test_explicit_allow_shared_root_override_bypasses_the_guard | AssertionError: assert '/data/patterns.db' == '/home/runner...\\patterns.db'
tests.test_starter_library | test_every_DECLARED_starter_ACTUALLY_RESOLVES | AssertionError: these starters are DECLARED but do not resolve, so each has silently become a machine-generated refusal in place of a reviewed one: Classic Flag/Pullback: Classic Flag/Pullback is no longer grounded: the screener no longer ships a starter screen called 'starter_leaders_pullback' (it ships ['starter_52w_breakout', 'starter_base_pocket_pivot', 'starter_earnings_momentum', 'starter_gap_movers', 'starter_momentum_leaders', 'starter_power_play', 'starter_pullback_20ema', 'starter_stage2_breakout', 'starter_three_weeks_tight', 'starter_tight_base', 'starter_uct_50', 'starter_value_quality'])
tests.test_starter_library | test_a_RETUNED_THRESHOLD_goes_red_NAMING_THE_NUMBER | AssertionError: Classic Flag/Pullback is no longer grounded: the screener no longer ships a starter screen called 'starter_leaders_pullback' (it ships ['starter_52w_breakout', 'starter_base_pocket_pivot', 'starter_earnings_momentum', 'starter_gap_movers', 'starter_momentum_leaders', 'starter_power_play', 'starter_pullback_20ema', 'starter_stage2_breakout', 'starter_three_weeks_tight', 'starter_tight_base', 'starter_uct_50', 'starter_value_quality'])
tests.test_starter_library | test_installing_a_starter_TWICE_is_ONE_definition_and_editing_it_FORKS_the_hash | AssertionError: no literal to retune — the fork below would be vacuous
tests.test_theme_index_watchlist | test_overlay_today_replaces_stale_and_appends_missing | AssertionError: assert (3 == 2)
tests.test_ticker_logos | test_fmp_profile_row_parses_list_of_one_shape | AssertionError: assert None == {'companyName': 'Apple Inc.', 'sector': 'Technology'}
tests.test_ticker_logos | test_fmp_profile_row_parses_bare_dict_shape | AssertionError: assert None == {'companyName': 'Apple Inc.'}
tests.test_ticker_logos | test_finnhub_logo_bytes_uses_fmp_image_when_present_and_skips_finnhub | AssertionError: assert None == b'\x89PNG\r\n\x1a\nfmp-logo'
tests.test_ticker_logos | test_finnhub_logo_bytes_fmp_5xx_marks_transient_then_finnhub_still_tried | assert False is True
tests.test_ticker_logos | test_run_hires_upgrade_recaches_existing | KeyError: 'total'
tests.test_ticker_logos | test_run_hires_upgrade_writes_source_sidecar | FileNotFoundError: [Errno 2] No such file or directory: '/tmp/pytest-of-runner/pytest-0/test_run_hires_upgrade_writes_0/AAPL.source'
tests.test_ticker_logos | test_existing_three_call_sites_unpack_tuple_return | KeyError: 'total'
tests.test_ticker_meta | test_fmp_is_tried_before_finnhub_and_finnhub_skipped_on_fmp_hit | AssertionError: assert {'exchange': ...r': None, ...} == {'exchange': ...hnology', ...}
tests.test_ticker_meta | test_fmp_field_mapping_happy_path | AssertionError: assert None == 'Apple Inc.'
tests.test_ticker_meta | test_fmp_market_cap_unit_conversion_asserts_magnitude | assert None == 4567767.716 ± 4.6e-03
tests.test_ticker_meta | test_fmp_missing_marketcap_key_entirely_yields_none | AssertionError: assert None == 'No Cap Co'
tests.test_ticker_meta | test_fmp_partial_then_finnhub_fills_remainder | AssertionError: assert {'exchange': ...r': None, ...} == {'exchange': ...hnology', ...}
tests.test_two_engines_do_not_agree | test_the_shipped_thresholds_have_not_moved | AssertionError: these thresholds changed since the agreement table was measured:
tests.test_web_capture_coverage.TestCoverageInTheEnvelope | test_a_web_passage_page_carries_selected_passage_only | KeyError: 'text_origin'
tests.test_web_capture_coverage.TestCoverageInTheEnvelope | test_a_web_reference_carries_metadata_only | KeyError: 'text_origin'
tests.test_web_capture_coverage.TestCoverageInTheEnvelope | test_a_PDF_page_still_carries_document_complete | KeyError: 'text_origin'
tests.test_web_capture_coverage.TestCoverageInTheEnvelope | test_a_row_with_NO_capture_type_is_treated_as_a_pre_wave_L_pdf | KeyError: 'text_origin'
tests.test_web_capture_coverage.TestCoverageInTheEnvelope | test_selected_passage_only_can_NEVER_map_to_document_complete | KeyError: 'text_origin'
tests.test_web_capture_coverage.TestAdversarialCoverage | test_a_reference_only_capture_offers_NO_body_text_to_answer_from | KeyError: 'text_origin'
tests.test_web_capture_coverage.TestCitationTruthfulness | test_a_web_capture_is_labelled_a_CAPTURED_PASSAGE_not_a_page | KeyError: 'text_origin'
tests.test_web_capture_coverage.TestCitationTruthfulness | test_a_PDF_page_STILL_says_p_N | KeyError: 'text_origin'
tests.test_wisdom_extract_tools | test_tools_refuse_paths_inside_the_shared_data_root | AssertionError: assert (False)
tests.test_yf_guard_binds | test_every_yfinance_module_has_a_binding_proof_or_a_named_reason | AssertionError: these modules reach yfinance and have no binding proof:
